ALV-5000/E-WIN Data
Date :	"24-Feb-12"
Time :	"19:30:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	      90.00000
Duration [s]    :	        10
Runs            :	         3
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	    2652.99219
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	
  6.65600E-001	  6.73348E-004	  5.68510E-004	  6.30923E-004	  8.20611E-004	  1.11926E-003	  1.05263E-003	  1.01013E-003	  1.29502E-003	
  7.16800E-001	  6.71617E-004	  5.65977E-004	  6.48365E-004	  8.00509E-004	  1.08313E-003	  1.03582E-003	  9.77616E-004	  1.23596E-003	
  7.68000E-001	  6.48401E-004	  5.51774E-004	  5.98131E-004	  7.95297E-004	  1.05104E-003	  9.63966E-004	  9.87075E-004	  1.20208E-003	
  8.19200E-001	  6.56098E-004	  5.50890E-004	  6.22680E-004	  7.94725E-004	  1.03714E-003	  9.68438E-004	  9.56881E-004	  1.18610E-003	
  9.21600E-001	  6.39276E-004	  5.28098E-004	  6.08365E-004	  7.81366E-004	  1.06125E-003	  9.91553E-004	  9.46767E-004	  1.24542E-003	
  1.02400E+000	  6.41402E-004	  5.35959E-004	  6.00835E-004	  7.87410E-004	  1.04306E-003	  9.69515E-004	  9.55444E-004	  1.20422E-003	
  1.12640E+000	  6.16273E-004	  5.03533E-004	  5.78496E-004	  7.66791E-004	  1.06416E-003	  1.00645E-003	  9.61176E-004	  1.22485E-003	
  1.22880E+000	  6.02387E-004	  4.81458E-004	  5.77550E-004	  7.48153E-004	  1.02887E-003	  9.45582E-004	  9.51803E-004	  1.18921E-003	
  1.33120E+000	  5.62998E-004	  4.51456E-004	  5.23426E-004	  7.14113E-004	  9.95769E-004	  9.29553E-004	  8.99563E-004	  1.15819E-003	
  1.43360E+000	  5.61855E-004	  4.54070E-004	  5.39058E-004	  6.92436E-004	  9.62449E-004	  8.81740E-004	  8.70815E-004	  1.13479E-003	
