ALV-5000/E-WIN Data
Date :	"06.12.2013"
Time :	"11:21:42"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	     120.53282
MeanCR1 [kHz]   :	     127.29026

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 121.727"	" 2, 121.917"	" 3, 122.189"	" 4, 121.098"	" 5, 122.615"	" 6, 120.533"	
  6.50240E+000	  8.25629E-003	  6.75258E-003	  1.09855E-002	  6.13740E-003	  9.80444E-003	  1.00776E-002	  5.78020E-003	
  7.32160E+000	  7.24452E-003	  6.15291E-003	  9.17114E-003	  5.84168E-003	  8.73941E-003	  9.04321E-003	  4.51877E-003	
  8.14080E+000	  6.88374E-003	  5.71446E-003	  9.47645E-003	  5.70978E-003	  7.70634E-003	  8.19233E-003	  4.50311E-003	
  8.96000E+000	  6.31643E-003	  5.89368E-003	  8.17828E-003	  4.64524E-003	  7.02620E-003	  7.50690E-003	  4.64831E-003	
  9.77920E+000	  5.98719E-003	  5.48551E-003	  7.21644E-003	  4.07405E-003	  6.59916E-003	  7.04413E-003	  5.50386E-003	
  1.05984E+001	  5.62311E-003	  4.27914E-003	  7.09543E-003	  3.90891E-003	  6.47013E-003	  6.53408E-003	  5.45098E-003	
  1.14176E+001	  5.28636E-003	  2.70248E-003	  7.07748E-003	  3.53747E-003	  6.50736E-003	  6.11689E-003	  5.77646E-003	
  1.22368E+001	  4.74782E-003	  2.89322E-003	  5.98170E-003	  3.20133E-003	  4.77732E-003	  5.53289E-003	  6.10045E-003	
  1.30560E+001	  4.36801E-003	  2.49006E-003	  5.74411E-003	  3.39334E-003	  3.97267E-003	  4.89415E-003	  5.71375E-003	
  1.46944E+001	  3.94115E-003	  1.66576E-003	  5.29963E-003	  4.10766E-003	  4.66809E-003	  4.12965E-003	  3.77612E-003	
  1.63328E+001	  3.20074E-003	  1.59721E-003	  3.97105E-003	  4.72432E-003	  4.02571E-003	  2.93498E-003	  1.95118E-003	
  1.79712E+001	  2.76126E-003	  1.09506E-003	  3.04912E-003	  3.94179E-003	  3.79118E-003	  2.90879E-003	  1.78159E-003	
  1.96096E+001	  2.48834E-003	  7.22722E-004	  2.90966E-003	  3.43707E-003	  2.57140E-003	  3.52223E-003	  1.76695E-003	
  2.12480E+001	  1.40434E-003	  2.16877E-004	  2.45576E-003	  1.97395E-003	  2.25015E-003	  1.46207E-003	  6.72326E-005	
  2.28864E+001	  1.23791E-003	  2.22637E-003	  2.33104E-003	  1.01205E-003	  2.38133E-004	  9.60110E-004	  6.59744E-004	
  2.45248E+001	  1.52756E-003	  2.04586E-003	  2.62844E-003	  2.04723E-003	  2.04565E-004	  8.74760E-004	  1.36453E-003	
  2.61632E+001	  1.38929E-003	  8.18805E-004	  2.90182E-003	  2.74259E-003	 -5.64731E-005	  1.52807E-003	  4.00916E-004	
  2.94400E+001	  9.48395E-004	  1.45966E-004	  1.79423E-003	  2.37423E-003	 -2.05907E-004	  1.09525E-003	  4.86609E-004	
