ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"14:11:37"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL CROSS CH0"
MeanCR0 [kHz]   :	      64.63463
MeanCR1 [kHz]   :	      64.63459

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,  65.455"	" 2,  66.652"	" 3,  66.025"	" 4,  66.996"	" 5,  66.167"	" 6,  64.635"	
  8.19200E-001	  6.82323E-002	  8.95273E-002	  6.48795E-002	  5.81851E-002	  6.79896E-002	  6.19330E-002	  6.68794E-002	  6.85623E-002	  8.63582E-002	  6.63248E-002	  6.10755E-002	  6.81039E-002	  6.29250E-002	  6.65862E-002	
  9.21600E-001	  6.65746E-002	  8.79652E-002	  6.32068E-002	  5.76331E-002	  6.68677E-002	  5.99496E-002	  6.38250E-002	  6.63077E-002	  8.32868E-002	  6.43337E-002	  5.91894E-002	  6.51656E-002	  6.08607E-002	  6.50099E-002	
  1.02400E+000	  6.36741E-002	  8.40028E-002	  6.10494E-002	  5.35181E-002	  6.35701E-002	  5.91472E-002	  6.07568E-002	  6.44321E-002	  8.15072E-002	  6.28478E-002	  5.60626E-002	  6.43982E-002	  5.83854E-002	  6.33914E-002	
  1.12640E+000	  6.20486E-002	  8.18285E-002	  5.94852E-002	  5.16986E-002	  6.22546E-002	  5.66881E-002	  6.03367E-002	  6.28217E-002	  8.14201E-002	  6.16854E-002	  5.46269E-002	  6.21185E-002	  5.71577E-002	  5.99216E-002	
  1.22880E+000	  6.03631E-002	  7.97824E-002	  5.63637E-002	  5.18656E-002	  5.95838E-002	  5.66773E-002	  5.79057E-002	  6.11759E-002	  7.93936E-002	  5.99477E-002	  5.31875E-002	  5.95421E-002	  5.59856E-002	  5.89991E-002	
  1.33120E+000	  5.85557E-002	  7.80360E-002	  5.60045E-002	  5.02996E-002	  5.81941E-002	  5.15573E-002	  5.72427E-002	  5.97680E-002	  7.95660E-002	  5.91540E-002	  5.15754E-002	  5.77051E-002	  5.42166E-002	  5.63911E-002	
  1.43360E+000	  5.70399E-002	  7.57959E-002	  5.47798E-002	  4.73957E-002	  5.67536E-002	  5.28737E-002	  5.46407E-002	  5.76375E-002	  7.60593E-002	  5.60610E-002	  5.04347E-002	  5.44767E-002	  5.37803E-002	  5.50129E-002	
  1.53600E+000	  5.54552E-002	  7.43032E-002	  5.32036E-002	  4.50179E-002	  5.62647E-002	  5.10781E-002	  5.28638E-002	  5.64092E-002	  7.46525E-002	  5.66013E-002	  4.89962E-002	  5.43820E-002	  5.09512E-002	  5.28721E-002	
  1.63840E+000	  5.43876E-002	  7.26858E-002	  5.23571E-002	  4.43189E-002	  5.47962E-002	  4.96749E-002	  5.24927E-002	  5.48026E-002	  7.25772E-002	  5.51926E-002	  4.78769E-002	  5.27355E-002	  4.90406E-002	  5.13928E-002	
  1.84320E+000	  5.17247E-002	  6.91808E-002	  4.94757E-002	  4.22445E-002	  5.10793E-002	  4.82247E-002	  5.01432E-002	  5.20875E-002	  7.03495E-002	  5.27958E-002	  4.44597E-002	  5.11379E-002	  4.60177E-002	  4.77644E-002	
