ALV-5000/E-WIN Data
Date :	"06.12.2013"
Time :	"12:58:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	     100.35390
MeanCR1 [kHz]   :	      96.75777

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  99.876"	" 2,  98.214"	" 3,  99.981"	" 4, 101.263"	" 5, 100.263"	" 6, 100.354"	
  1.79712E+001	  1.49729E-003	  1.71107E-003	  9.87059E-004	  3.68082E-003	  9.59729E-004	 -1.67421E-003	  3.31930E-003	
  1.96096E+001	  1.91098E-003	  1.39511E-003	  1.07726E-003	  5.30962E-003	  8.14889E-004	 -9.78523E-004	  3.84752E-003	
  2.12480E+001	  1.45060E-003	  2.25259E-003	  6.78989E-004	  4.80419E-003	  1.02729E-003	 -2.22736E-003	  2.16788E-003	
  2.28864E+001	  1.40535E-003	  2.59140E-003	  1.37257E-003	  2.70004E-003	  2.26129E-003	 -2.08012E-003	  1.58693E-003	
  2.45248E+001	  1.22174E-003	  7.85173E-004	  1.18523E-003	  3.73275E-003	  2.44536E-003	 -9.20088E-004	  1.02035E-004	
  2.61632E+001	  1.17990E-003	 -2.79958E-004	 -1.68943E-004	  4.06174E-003	  2.51490E-003	  7.69774E-004	  1.81863E-004	
  2.94400E+001	  1.29081E-003	  2.68753E-004	  1.30540E-003	  2.57816E-003	  1.41996E-003	  1.88412E-003	  2.88476E-004	
  3.27168E+001	  1.96094E-003	  1.50564E-003	  1.41042E-003	  3.20202E-003	  1.09388E-003	  2.43567E-003	  2.11800E-003	
  3.59936E+001	  2.33936E-003	  2.03950E-003	  2.49720E-003	  3.60541E-003	  2.12888E-003	  1.08975E-003	  2.67539E-003	
  3.92704E+001	  1.21462E-003	  1.62932E-003	  9.54271E-004	  7.64520E-004	  2.38182E-003	  4.57618E-004	  1.10019E-003	
  4.25472E+001	  9.28292E-004	  1.35205E-003	  4.54177E-004	  5.22688E-004	  6.69274E-004	  2.21514E-003	  3.56425E-004	
  4.58240E+001	  1.05216E-003	 -7.29202E-004	 -7.03488E-004	  3.68040E-003	 -6.25644E-004	  2.51821E-003	  2.17271E-003	
  4.91008E+001	  1.07606E-003	 -8.56391E-004	 -3.33770E-004	  3.11142E-003	  1.50853E-004	  1.69633E-003	  2.68794E-003	
  5.23776E+001	  1.04988E-003	 -1.38955E-003	 -1.45798E-004	  2.43340E-003	  5.76466E-004	  1.75013E-003	  3.07463E-003	
  5.89312E+001	  5.88572E-004	 -4.92403E-005	 -1.34625E-004	  2.14336E-003	  1.18032E-004	  8.22091E-004	  6.31816E-004	
  6.54848E+001	  7.52408E-004	  1.82791E-003	  1.43985E-003	  5.17105E-004	 -1.98390E-003	  2.68274E-003	  3.07527E-005	
  7.20384E+001	  4.83795E-004	  2.64145E-003	 -1.31362E-003	  3.34860E-004	 -2.25944E-003	  2.37776E-003	  1.12176E-003	
  7.85920E+001	  3.23608E-005	  2.53561E-003	 -1.00197E-003	  1.88841E-003	 -1.69783E-003	 -6.85044E-004	 -8.45014E-004	
  8.51456E+001	  6.36808E-004	  3.16423E-003	 -8.34229E-004	  7.37915E-004	  4.29453E-005	 -9.97728E-004	  1.70772E-003	
  9.16992E+001	  4.83427E-004	  1.40555E-003	 -2.68304E-004	 -1.44425E-003	  9.36663E-004	 -9.34246E-004	  3.20515E-003	
  9.82528E+001	  6.07386E-005	  1.35304E-003	 -2.49297E-005	 -2.48503E-003	  1.94232E-003	 -1.70854E-003	  1.28757E-003	
  1.04806E+002	  2.01461E-004	 -3.23678E-004	  8.94663E-004	 -9.82300E-004	  7.36664E-004	 -6.96489E-004	  1.57991E-003	
  1.17914E+002	  5.84497E-004	 -3.47648E-004	  1.40822E-004	  4.92343E-004	  2.23456E-004	  3.55751E-004	  2.64226E-003	
