ALV-7004/USB
Date :	"04.12.2014"
Time :	"15:58:27"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     532.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	     98655
Runs            :	        10
Mode            :	"A-CH0+1  C-CH0/1+1/0 "
MeanCR0 [kHz]   :	      85.35768
MeanCR1 [kHz]   :	       8.19226
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	" 1  65.381"	" 2  67.825"	" 3  70.819"	" 4  72.501"	" 5  74.894"	" 6  77.741"	" 7  79.144"	" 8  81.304"	" 9  83.072"	"10  85.358"	"Average(1)"	" 1,   7.002"	" 2,   7.142"	" 3,   7.399"	" 4,   7.418"	" 5,   7.573"	" 6,   7.735"	" 7,   7.741"	" 8,   7.896"	" 9,   8.005"	"10,   8.192"	
  3.20000E-003	  1.74193E-002	  1.91043E-002	  1.53595E-002	  1.79854E-002	  1.60295E-002	  1.65770E-002	  2.38620E-002	  2.06272E-002	  1.33405E-002	  1.51394E-002	  1.61683E-002	  3.48832E-002	  4.98786E-002	 -5.79836E-003	  9.33446E-002	 -9.20536E-003	  1.24225E-001	  6.22774E-002	  1.58109E-002	  1.98066E-002	  2.90648E-002	 -3.05721E-002	
  3.60000E-003	  1.54286E-002	  1.51627E-002	  1.96846E-002	  1.02522E-002	  1.35555E-002	  1.94057E-002	  1.79307E-002	  1.75044E-002	  7.96199E-003	  1.76283E-002	  1.52005E-002	  3.80960E-002	  6.53433E-002	  1.47282E-001	 -1.09295E-002	  5.74536E-002	  8.58178E-003	  1.03563E-002	  1.72120E-002	 -1.91071E-002	  2.77639E-002	  7.70031E-002	
  4.00000E-003	  1.46274E-002	  1.31327E-002	  1.70019E-002	  1.96927E-002	  1.37617E-002	  9.73726E-003	  1.10132E-002	  1.81343E-002	  1.21762E-002	  1.77370E-002	  1.38869E-002	  2.25264E-002	  4.30054E-002	 -1.56745E-002	 -7.86261E-003	  1.20043E-002	  1.29733E-002	  7.63101E-002	 -5.42450E-002	  2.65159E-002	  5.89871E-002	  7.32505E-002	
  4.40000E-003	  1.39825E-002	  1.39999E-002	  1.91188E-002	  8.21008E-003	  1.98675E-002	  7.86689E-003	  1.75557E-002	  1.68611E-002	  1.08980E-002	  9.72800E-003	  1.57190E-002	  2.49259E-002	 -1.02617E-002	  6.16888E-002	 -1.55298E-002	  6.04836E-002	  2.76116E-002	 -5.07967E-003	  1.01284E-001	  1.84648E-002	 -4.63912E-002	  5.69891E-002	
  4.80000E-003	  1.29455E-002	  2.09766E-002	  8.88094E-003	  1.94751E-002	  9.68580E-003	  9.54315E-003	  1.16522E-002	  1.60971E-002	  1.17080E-002	  9.70384E-003	  1.17323E-002	  1.22870E-002	  1.72310E-002	  1.39540E-002	  2.74066E-002	 -1.15499E-004	 -2.06949E-002	 -5.07967E-003	  3.40299E-002	 -4.34670E-003	  1.47542E-002	  4.57312E-002	
  5.20000E-003	  1.12021E-002	  6.90481E-003	  1.00306E-002	  2.07305E-002	  7.68752E-003	  9.66288E-003	  2.23757E-002	  9.56967E-003	  5.22843E-003	  1.11055E-002	  8.72497E-003	  3.52728E-002	 -3.77545E-002	  3.86444E-002	  4.40493E-003	  6.95734E-002	  4.81053E-002	  1.28231E-001	  1.47521E-001	  5.04626E-003	 -2.29738E-002	 -2.80704E-002	
  5.60000E-003	  9.90392E-003	  8.69828E-003	  1.87317E-003	  4.32675E-003	  8.59151E-003	  1.10548E-002	  1.80280E-002	  1.36708E-002	  1.13789E-002	  7.27657E-003	  1.41404E-002	  2.29902E-002	  6.53433E-002	 -7.44439E-003	 -9.39605E-003	  2.26091E-002	  4.51776E-002	  8.89396E-002	 -1.36083E-002	  2.36256E-003	  2.64629E-002	  9.45586E-003	
  6.00000E-003	  1.34506E-002	  1.76853E-002	  9.08168E-003	  1.10389E-002	  1.32066E-002	  1.07105E-002	  1.39302E-002	  1.64317E-002	  1.40239E-002	  1.91874E-002	  9.20930E-003	  2.45329E-002	  3.44140E-002	  1.39540E-002	  5.50085E-002	  8.97436E-003	  1.29733E-002	  7.91167E-002	 -2.39932E-003	  6.81132E-002	 -2.42748E-002	 -5.51138E-004	
  6.40000E-003	  1.07793E-002	  1.28576E-002	  3.81652E-003	  1.14153E-002	  9.16316E-003	  1.17131E-002	  1.40481E-002	  1.48639E-002	  7.36739E-003	  1.32874E-002	  9.26093E-003	  3.36999E-002	  3.87095E-002	  3.45291E-002	 -3.26250E-003	  3.09413E-002	  4.95689E-002	  5.17526E-002	  6.27527E-002	  5.33527E-002	  4.43360E-004	  1.82118E-002	
  7.20000E-003	  1.07985E-002	  8.97502E-003	  1.49760E-002	  1.21183E-002	  1.15421E-002	  1.08006E-002	  1.39647E-002	  9.61009E-003	  6.81688E-003	  9.84497E-003	  9.33622E-003	  1.40559E-002	  6.92101E-003	 -2.39049E-002	  2.10455E-003	  2.03365E-002	  4.15178E-002	  2.85987E-002	  2.28207E-002	  1.24262E-002	  1.21521E-002	  1.75863E-002	
  8.00000E-003	  1.11605E-002	  1.18820E-002	  1.18006E-002	  1.00009E-002	  1.19698E-002	  8.61545E-003	  1.98266E-002	  1.06220E-002	  8.81010E-003	  1.05154E-002	  7.56180E-003	  2.56136E-002	 -5.96621E-003	  2.87680E-002	  4.04406E-002	  1.88215E-002	  1.80965E-002	  3.00019E-002	 -2.97847E-004	  1.64518E-002	  2.90646E-002	  8.07555E-002	
