#! time [s],	camera1/temperature_degC,	laser1/line1/measured_power,	laser1/line1/set_power,	laser2/line1/measured_power,	laser2/line1/set_power,	stagex/position,	stagex/velocity,	stagey/position,	stagey/velocity,	stagez/position,	stagez/velocity,	transmission/line1/measured_power,	transmission/line1/set_power
133.381,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
133.939,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
134.542,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
135.132,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
135.695,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
136.287,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
136.877,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
137.445,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
138.035,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
138.635,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
139.228,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
139.843,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
140.427,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
141.022,	-77.949,	25,	25,	25,	25,	-614.873,	0,	2200.47,	0,	2086.52,	0,	0,	356
