ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"15:23:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     268.13739
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 266.992"	" 2, 266.543"	" 3, 266.916"	" 4, 266.046"	" 5, 267.830"	" 6, 268.137"	
  8.96000E+000	  7.38417E-004	  9.71139E-004	  6.58036E-004	  4.20774E-004	  8.37444E-004	  7.89667E-004	  7.53442E-004	
  9.77920E+000	  6.78137E-004	  8.13603E-004	  6.99205E-004	  5.30536E-004	  9.08711E-004	  5.47630E-004	  5.69136E-004	
  1.05984E+001	  6.82259E-004	  6.91230E-004	  7.04160E-004	  6.15539E-004	  7.45877E-004	  5.97991E-004	  7.38760E-004	
  1.14176E+001	  7.15761E-004	  5.08971E-004	  5.21426E-004	  7.61298E-004	  8.65917E-004	  9.14176E-004	  7.22776E-004	
  1.22368E+001	  6.57629E-004	  4.67924E-004	  4.55407E-004	  5.93016E-004	  6.87449E-004	  7.77770E-004	  9.64209E-004	
  1.30560E+001	  5.83426E-004	  5.79272E-004	  1.55039E-004	  7.57911E-004	  7.02064E-004	  6.35524E-004	  6.70746E-004	
  1.46944E+001	  5.46131E-004	  6.34275E-004	  1.88491E-004	  5.91034E-004	  5.97656E-004	  7.78019E-004	  4.87309E-004	
  1.63328E+001	  5.45502E-004	  5.51144E-004	  2.24411E-004	  4.08549E-004	  7.86448E-004	  7.78397E-004	  5.24066E-004	
  1.79712E+001	  4.27841E-004	  3.86025E-004	  2.03068E-004	  3.27047E-004	  5.15963E-004	  6.40992E-004	  4.93951E-004	
  1.96096E+001	  3.87866E-004	  6.23221E-004	  1.34406E-004	  3.92885E-004	  4.62221E-004	  4.36852E-004	  2.77612E-004	
  2.12480E+001	  4.23335E-004	  5.83520E-004	  1.21549E-004	  5.57287E-004	  5.42264E-004	  4.24712E-004	  3.10675E-004	
