ALV-5000/E-WIN Data
Date :	"11.02.2013"
Time :	"15:01:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        60
Runs            :	         5
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     123.59176
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 125.471"	" 2, 124.904"	" 3, 123.333"	" 4, 122.813"	" 5, 123.592"	
  4.60800E-001	  1.08361E-002	  1.11468E-002	  1.10016E-002	  1.09585E-002	  1.04817E-002	  1.05917E-002	
  5.12000E-001	  9.56665E-003	  9.80419E-003	  9.58070E-003	  9.63749E-003	  9.44211E-003	  9.36877E-003	
  5.63200E-001	  8.70290E-003	  8.92125E-003	  8.54906E-003	  9.02476E-003	  8.46526E-003	  8.55420E-003	
  6.14400E-001	  8.06185E-003	  8.65690E-003	  7.89368E-003	  7.94552E-003	  8.03479E-003	  7.77837E-003	
  6.65600E-001	  7.21666E-003	  7.26446E-003	  7.53867E-003	  6.86290E-003	  7.59483E-003	  6.82242E-003	
  7.16800E-001	  6.69770E-003	  6.52279E-003	  7.02557E-003	  6.51090E-003	  7.11344E-003	  6.31583E-003	
  7.68000E-001	  6.18305E-003	  6.29373E-003	  6.39954E-003	  6.32012E-003	  6.26238E-003	  5.63948E-003	
  8.19200E-001	  5.82442E-003	  6.04357E-003	  6.04389E-003	  5.91357E-003	  5.58639E-003	  5.53469E-003	
  9.21600E-001	  5.00118E-003	  5.21981E-003	  4.96846E-003	  5.30967E-003	  4.64737E-003	  4.86058E-003	
  1.02400E+000	  4.42207E-003	  4.68922E-003	  4.64269E-003	  4.44167E-003	  4.10459E-003	  4.23217E-003	
  1.12640E+000	  4.05940E-003	  4.22876E-003	  4.02089E-003	  4.19037E-003	  3.88588E-003	  3.97109E-003	
  1.22880E+000	  3.56295E-003	  3.83007E-003	  3.59228E-003	  3.53966E-003	  3.33822E-003	  3.51453E-003	
  1.33120E+000	  3.18554E-003	  3.20031E-003	  3.25681E-003	  3.32970E-003	  2.80547E-003	  3.33542E-003	
  1.43360E+000	  2.94011E-003	  2.80367E-003	  3.16463E-003	  2.90956E-003	  2.78789E-003	  3.03483E-003	
  1.53600E+000	  2.70613E-003	  2.73468E-003	  3.04069E-003	  2.75692E-003	  2.28777E-003	  2.71057E-003	
  1.63840E+000	  2.38131E-003	  2.50774E-003	  2.56965E-003	  2.45675E-003	  2.04247E-003	  2.32996E-003	
  1.84320E+000	  2.23107E-003	  2.78560E-003	  1.91410E-003	  2.17014E-003	  2.04079E-003	  2.24473E-003	
  2.04800E+000	  1.94124E-003	  2.02840E-003	  1.65191E-003	  2.18464E-003	  1.94976E-003	  1.89151E-003	
  2.25280E+000	  1.64531E-003	  1.81689E-003	  1.30650E-003	  1.97633E-003	  1.52953E-003	  1.59730E-003	
  2.45760E+000	  1.27940E-003	  1.44025E-003	  9.84251E-004	  1.62647E-003	  1.12139E-003	  1.22464E-003	
  2.66240E+000	  1.25384E-003	  1.62570E-003	  8.24128E-004	  1.36666E-003	  1.27900E-003	  1.17372E-003	
  2.86720E+000	  1.12409E-003	  1.53947E-003	  8.95029E-004	  1.43848E-003	  6.04602E-004	  1.14287E-003	
