#! time [s],	camera1/temperature_degC,	laser1/line1/measured_power,	laser1/line1/set_power,	laser2/line1/measured_power,	laser2/line1/set_power,	stagex/position,	stagex/velocity,	stagey/position,	stagey/velocity,	stagez/position,	stagez/velocity,	transmission/line1/measured_power,	transmission/line1/set_power
70.24,	-77.949,	0,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
70.849,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
71.431,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
72.041,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
72.629,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
73.223,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
73.827,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
74.414,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
75.018,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
75.606,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
76.211,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
76.827,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
77.432,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
78.032,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
78.625,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
79.259,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
79.877,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
80.483,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
81.09,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
81.679,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
82.285,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
82.874,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
83.49,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
84.103,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
84.702,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
85.309,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
85.901,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
86.521,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
87.123,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
87.743,	-77.949,	25,	25,	25,	25,	-255.514,	0,	2316.25,	0,	-447.444,	0,	0,	356
