ALV-5000/E-WIN Data
Date :	"22-Aug-08"
Time :	"14:13:31"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	         3
Runs            :	         2
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	      52.52520
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	
  4.24960E+001	  1.15751E-003	  1.47782E-003	  8.37193E-004	  5.27443E-003	  8.80599E-003	  1.74288E-003	
  4.57728E+001	  7.55023E-004	  1.08205E-003	  4.28000E-004	  5.27420E-003	  8.86500E-003	  1.68340E-003	
  4.90496E+001	  6.20473E-004	  1.12998E-003	  1.10967E-004	  5.17104E-003	  8.75968E-003	  1.58240E-003	
  5.23264E+001	  4.61519E-004	  7.82715E-004	  1.40323E-004	  4.93616E-003	  8.41493E-003	  1.45740E-003	
  5.88800E+001	  5.82008E-004	  9.96963E-004	  1.67053E-004	  4.97597E-003	  8.51106E-003	  1.44088E-003	
  6.54336E+001	  4.63116E-004	  8.91184E-004	  3.50478E-005	  4.90255E-003	  8.44394E-003	  1.36116E-003	
  7.19872E+001	  7.49237E-004	  8.79555E-004	  6.18920E-004	  4.88142E-003	  8.39845E-003	  1.36439E-003	
  7.85408E+001	  3.23865E-004	  6.90891E-004	 -4.31610E-005	  4.95593E-003	  8.44727E-003	  1.46460E-003	
  8.50944E+001	  1.29716E-004	  1.99187E-004	  6.02463E-005	  4.93841E-003	  8.48084E-003	  1.39597E-003	
  9.16480E+001	  4.92189E-004	  4.83742E-004	  5.00636E-004	  4.89579E-003	  8.40955E-003	  1.38204E-003	
  9.82016E+001	  5.01826E-004	  1.00716E-003	 -3.51117E-006	  4.95316E-003	  8.57250E-003	  1.33383E-003	
  1.04755E+002	  3.99524E-004	  2.53672E-004	  5.45377E-004	  4.38639E-003	  7.57761E-003	  1.19517E-003	
  1.17862E+002	  5.34618E-004	  6.00595E-004	  4.68641E-004	  4.41636E-003	  7.61498E-003	  1.21774E-003	
  1.30970E+002	  2.91381E-004	  1.43228E-004	  4.39533E-004	  4.43347E-003	  7.59872E-003	  1.26821E-003	
  1.44077E+002	  4.63630E-004	  5.05792E-004	  4.21468E-004	  4.41973E-003	  7.71709E-003	  1.12238E-003	
  1.57184E+002	  3.25690E-004	  6.01466E-004	  4.99138E-005	  4.49151E-003	  7.77309E-003	  1.20993E-003	
  1.70291E+002	  2.30195E-004	  5.26307E-004	 -6.59170E-005	  4.42946E-003	  7.62484E-003	  1.23408E-003	
  1.83398E+002	  3.83648E-004	  5.61253E-004	  2.06042E-004	  4.45768E-003	  7.68713E-003	  1.22823E-003	
  1.96506E+002	  5.62545E-004	  7.34433E-004	  3.90657E-004	  4.49070E-003	  7.79626E-003	  1.18513E-003	
  2.09613E+002	  4.33828E-004	  4.40299E-004	  4.27357E-004	  3.48982E-003	  5.81733E-003	  1.16231E-003	
  2.35827E+002	  1.19411E-004	  2.54461E-004	 -1.56384E-005	  3.45336E-003	  5.86120E-003	  1.04551E-003	
  2.62042E+002	  2.22303E-005	  2.14620E-004	 -1.70159E-004	  3.51076E-003	  5.95166E-003	  1.06986E-003	
  2.88256E+002	 -1.33866E-004	 -1.15696E-004	 -1.52035E-004	  3.52914E-003	  6.02636E-003	  1.03192E-003	
  3.14470E+002	 -3.76247E-005	 -1.31133E-004	  5.58839E-005	  3.53855E-003	  6.08750E-003	  9.89603E-004	
  3.40685E+002	 -1.43534E-004	 -3.40169E-004	  5.31011E-005	  3.55741E-003	  6.19308E-003	  9.21738E-004	
  3.66899E+002	  2.35887E-004	  1.54745E-004	  3.17028E-004	  3.53743E-003	  6.18748E-003	  8.87384E-004	
  3.93114E+002	  9.62369E-006	  2.77283E-004	 -2.58035E-004	  3.58420E-003	  6.23586E-003	  9.32544E-004	
  4.19328E+002	  6.18134E-005	  3.09369E-004	 -1.85742E-004	  1.31286E-003	  2.15845E-003	  4.67272E-004	
  4.71757E+002	 -1.04970E-004	 -1.61188E-004	 -4.87528E-005	  1.41764E-003	  2.34579E-003	  4.89497E-004	
  5.24186E+002	 -3.36367E-004	 -1.86748E-004	 -4.85986E-004	  1.53159E-003	  2.51987E-003	  5.43312E-004	
  5.76614E+002	  3.56469E-005	 -4.72594E-005	  1.18553E-004	  1.66238E-003	  2.74851E-003	  5.76251E-004	
  6.29043E+002	  3.42446E-005	 -2.62835E-004	  3.31325E-004	  1.75501E-003	  2.90320E-003	  6.06832E-004	
  6.81472E+002	  1.23298E-004	 -4.12044E-004	  6.58640E-004	  1.76832E-003	  3.00484E-003	  5.31804E-004	
  7.33901E+002	  5.02187E-006	 -4.78758E-005	  5.79196E-005	  1.78460E-003	  3.07868E-003	  4.90514E-004	
  7.86330E+002	 -6.60374E-005	 -1.23368E-004	 -8.70715E-006	  1.82634E-003	  3.10357E-003	  5.49123E-004	

"Count Rate"
       0.02621	      51.23138	     169.44885
       0.05243	      54.13055	     173.83575
       0.07864	      55.58014	     173.53058
       0.10486	      57.22046	     169.37256
       0.13107	      56.30493	     162.65869
       0.15729	      55.84717	     166.01563
       0.18350	      52.26135	     165.21454
       0.20972	      53.06244	     163.95569
       0.23593	      57.98340	     168.26630
       0.26214	      59.47113	     160.94208
       0.28836	      57.33490	     166.85486
       0.31457	      51.68915	     166.24451
       0.34079	      52.29950	     159.14917
       0.36700	      56.53381	     162.96387
       0.39322	      52.45209	     163.49792
       0.41943	      50.88806	     163.87939
       0.44564	      53.48206	     167.92297
       0.47186	      51.95618	     162.81128
       0.49807	      49.78180	     165.48157
       0.52429	      51.46027	     171.58508
       0.55050	      55.27496	     164.83307
       0.57672	      50.43030	     166.70227
       0.60293	      51.65100	     157.92847
       0.62915	      55.27496	     162.27722
       0.65536	      51.46027	     156.70776
       0.68157	      56.68640	     157.96661
       0.70779	      54.13055	     157.35626
       0.73400	      51.65100	     162.46796
       0.76022	      51.30768	     155.94482
       0.78643	      48.82813	     161.09467
       0.81265	      52.29950	     157.20367
       0.83886	      52.87170	     162.96387
       0.86508	      53.52020	     161.78131
       0.89129	      55.61829	     164.64233
       0.91750	      58.09784	     162.04834
       0.94372	      54.09241	     162.20093
       0.96993	      51.04065	     165.36713
       0.99615	      51.91803	     164.90936
       1.02236	      53.74908	     163.49792
       1.04858	      50.96436	     165.78674
       1.07479	      49.01886	     158.92029
       1.10100	      52.79541	     161.09467
       1.12722	      54.55017	     163.87939
       1.15343	      49.32404	     162.12463
       1.17965	      48.06519	     165.55786
       1.20586	      51.00250	     163.80310
       1.23208	      54.47388	     162.65869
       1.25829	      51.30768	     158.80585
       1.28451	      53.40576	     153.04565
       1.31072	      46.95892	     160.75134
       1.33693	      55.61829	     157.81403
       1.36315	      54.81720	     160.02655
       1.38936	      47.91260	     164.83307
       1.41558	      52.14691	     163.11646
       1.44179	      49.51477	     163.11646
       1.46801	      51.87988	     157.62329
       1.49422	      50.69733	     160.78949
       1.52044	      51.99432	     154.38080
       1.54665	      51.53656	     152.24457
       1.57286	      55.58014	     152.81677
       1.59908	      51.15509	     154.68597
       1.62529	      45.77637	     154.91486
       1.65151	      50.43030	     159.49249
       1.67772	      49.47662	     157.39441
       1.70394	      52.07062	     160.02655
       1.73015	      52.94800	     157.92847
       1.75636	      44.82269	     154.30450
       1.78258	      51.87988	     152.13013
       1.80879	      47.22595	     156.63147
       1.83501	      47.95074	     159.53064
       1.86122	      51.65100	     162.31537
       1.88744	      53.02429	     155.79224
       1.91365	      53.48206	     156.78406
       1.93987	      57.90710	     160.86578
       1.96608	      55.16052	     157.92847
       1.99229	      52.29950	     159.56879
       2.01851	      51.34583	     154.03748
       2.04472	      50.27771	     150.18463
       2.07094	      57.79266	     150.79498
       2.09715	      52.60468	     148.62061
       2.12337	      52.41394	     148.69690
       2.14958	      49.89624	     150.75684
       2.17580	      56.61011	     146.17920
       2.20201	      49.36218	     145.53070
       2.22822	      52.60468	     143.50891
       2.25444	      54.32129	     147.89581
       2.28065	      55.69458	     150.87128
       2.30687	      50.50659	     149.34540
       2.33308	      51.99432	     142.89856
       2.35930	      53.74908	     147.13287
       2.38551	      52.83356	     144.80591
       2.41172	      53.25317	     144.95850
       2.43794	      48.63739	     149.19281
       2.46415	      48.71368	     147.55249
       2.49037	      51.91803	     156.63147
       2.51658	      51.23138	     151.55792
       2.54280	      49.47662	     150.37537
       2.56901	      49.93439	     150.90942
       2.59523	      54.89349	     151.25275
       2.62144	      52.26135	     148.35358
       2.64765	      50.62103	     149.68872
       2.67387	      51.72729	     152.05383
       2.70008	      51.68915	     148.84949
       2.72630	      51.91803	     154.03748
       2.75251	      53.29132	     155.56335
       2.77873	      52.79541	     154.26636
       2.80494	      51.80359	     152.13013
       2.83116	      51.38397	     151.93939
       2.85737	      55.35126	     147.17102
       2.88358	      49.89624	     149.87946
       2.90980	      51.57471	     142.89856
       2.93601	      49.20959	     151.36719
       2.96223	      50.54474	     144.42444
       2.98844	      51.87988	     145.56885
