ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"4/16/2010"
Time :	"12:10:15 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	         5
Runs            :	         5
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	       0.73985
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   1.554"	" 2,   1.204"	" 3,   1.124"	" 4,   0.877"	" 5,   0.740"	
  2.45728E+002	  3.45886E-003	  9.22172E-003	 -2.51297E-003	  3.00107E-003	  4.84216E-003	  2.74230E-003	
  2.62112E+002	  3.04798E-003	  6.48463E-003	  6.26675E-004	  1.98808E-003	  1.06291E-003	  5.07760E-003	
  2.94880E+002	  2.83604E-003	  9.49157E-003	  2.80698E-003	 -1.44452E-004	 -1.57125E-003	  3.59736E-003	
  3.27648E+002	  3.06317E-003	  8.40977E-003	  2.84514E-004	  2.51650E-003	 -2.89308E-004	  4.39439E-003	
  3.60416E+002	  4.55697E-003	  6.53777E-003	  7.90457E-003	  4.06749E-004	  3.27321E-003	  4.66257E-003	
  3.93184E+002	  5.26511E-003	  7.70291E-003	  3.25075E-003	 -2.26036E-003	  7.69341E-003	  9.93884E-003	
  4.25952E+002	  4.93818E-003	  7.15762E-003	  4.73812E-003	  1.72542E-003	  5.38927E-003	  5.68045E-003	
  4.58720E+002	  1.97284E-003	  5.48731E-003	  4.03595E-003	  5.19241E-003	  2.91602E-003	 -7.76749E-003	
  4.91488E+002	  9.35946E-004	  4.55125E-003	  4.19648E-003	  2.15674E-003	 -4.22683E-004	 -5.80205E-003	
  5.24256E+002	  2.81766E-003	  6.92546E-003	  6.46391E-003	  3.18036E-003	 -9.65927E-004	 -1.51551E-003	
  5.89792E+002	  4.42187E-003	  5.80169E-003	  4.40688E-003	  4.68755E-003	  3.66634E-003	  3.54688E-003	
  6.55328E+002	  1.11121E-003	  5.68186E-003	  2.52707E-004	  5.18782E-003	 -2.38539E-003	 -3.18095E-003	
  7.20864E+002	  2.27443E-003	  3.61197E-003	  2.00740E-003	  5.48338E-003	 -1.99652E-003	  2.26589E-003	
  7.86400E+002	  1.31493E-003	  3.40248E-003	  1.18756E-003	  4.38036E-003	 -8.08979E-004	 -1.58676E-003	
  8.51936E+002	  1.22329E-003	  4.22965E-003	  5.10171E-004	  2.00349E-003	 -2.20307E-003	  1.57619E-003	
  9.17472E+002	  1.49767E-003	  4.77035E-003	  4.84240E-003	  1.89274E-003	 -3.14219E-003	 -8.74945E-004	
