ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"11:32:28"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      38.69208
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  38.674"	" 2,  38.742"	" 3,  38.762"	" 4,  38.702"	" 5,  38.700"	" 6,  38.692"	
  2.61632E+001	  1.98105E-004	  2.25913E-004	  1.59533E-004	  3.01174E-004	  2.89416E-004	  1.52465E-004	  6.01272E-005	
  2.94400E+001	  1.52474E-004	  2.98410E-004	 -1.68580E-004	  1.75198E-004	  2.72198E-004	  1.63816E-004	  1.73802E-004	
  3.27168E+001	  1.31048E-004	  2.08049E-004	  1.66386E-004	  1.32902E-005	  1.20037E-004	  5.18180E-005	  2.26706E-004	
  3.59936E+001	  2.01205E-004	  1.57650E-004	  1.84830E-004	  3.10178E-004	  2.85890E-004	  1.22661E-004	  1.46021E-004	
  3.92704E+001	  1.05385E-004	  3.68191E-005	  1.98477E-005	  1.24795E-004	  9.33262E-005	  2.75070E-004	  8.24498E-005	
  4.25472E+001	  7.30408E-005	  2.46776E-004	  1.18138E-004	 -5.50059E-005	  6.04944E-005	  1.41323E-004	 -7.34804E-005	
  4.58240E+001	  3.55802E-005	  7.50400E-005	  1.80839E-004	  7.56044E-005	 -8.09859E-005	  7.80469E-005	 -1.15063E-004	
  4.91008E+001	  3.43586E-005	 -5.25771E-005	  1.48449E-004	  7.56906E-005	  1.35925E-004	  7.89941E-005	 -1.80330E-004	
  5.23776E+001	  1.47721E-004	  8.30333E-005	  2.63074E-004	  1.19344E-004	  2.51487E-004	  1.94520E-004	 -2.51329E-005	
  5.89312E+001	  1.07461E-004	  1.09869E-004	  8.41406E-005	  1.64150E-004	  1.65711E-004	  9.41297E-005	  2.67644E-005	
  6.54848E+001	  1.04410E-004	  2.24369E-004	  2.71646E-005	  1.11173E-004	  1.18253E-004	  1.08926E-004	  3.65729E-005	
  7.20384E+001	  5.88245E-005	  1.53449E-004	 -3.68728E-006	  1.51857E-004	  3.36688E-005	  4.24711E-005	 -2.48112E-005	
  7.85920E+001	  8.54896E-005	  4.27923E-005	  3.33033E-005	  1.80139E-004	  8.94405E-005	  1.79809E-004	 -1.25462E-005	
  8.51456E+001	  4.43453E-005	  4.13437E-005	  1.12029E-004	  1.07807E-004	 -1.36888E-005	  6.22173E-005	 -4.36359E-005	
  9.16992E+001	  8.02841E-005	  4.64296E-005	  1.29193E-004	  1.46579E-005	  1.61237E-005	  1.20090E-004	  1.55210E-004	
  9.82528E+001	  8.00782E-005	  1.58080E-004	  5.65923E-005	  4.25122E-005	 -1.57067E-004	  2.08377E-004	  1.71976E-004	
  1.04806E+002	  1.04225E-004	  1.36103E-004	  8.94076E-005	  1.12310E-004	  1.46114E-005	  1.34046E-004	  1.38875E-004	
  1.17914E+002	  8.73777E-005	  1.83831E-004	  1.99668E-004	 -2.56894E-005	  8.02882E-005	  6.28249E-005	  2.33444E-005	
  1.31021E+002	  2.09736E-005	  5.30220E-006	 -3.20189E-005	 -5.42552E-005	  1.11731E-004	  1.21244E-004	 -2.61614E-005	
  1.44128E+002	  6.68868E-005	  8.55727E-005	  9.55490E-005	  1.27833E-005	  1.40230E-004	  1.57450E-004	 -9.02647E-005	
  1.57235E+002	  9.02055E-006	  4.69759E-005	  1.01936E-004	 -3.37699E-005	  2.06048E-006	 -7.77605E-005	  1.46812E-005	
  1.70342E+002	  1.45083E-005	  5.65321E-005	  6.73647E-006	 -4.20862E-005	  9.01155E-005	 -8.72730E-005	  6.30246E-005	
  1.83450E+002	  4.18443E-005	  4.37567E-005	  4.69121E-005	  2.52600E-005	  1.00673E-004	 -9.73808E-005	  1.31845E-004	
  1.96557E+002	  1.05292E-004	  2.59590E-006	  1.22492E-004	  5.90841E-005	  1.59692E-004	  9.96681E-005	  1.88219E-004	
  2.09664E+002	  1.65071E-005	 -8.64236E-005	  4.27141E-005	 -3.63171E-005	 -2.77597E-006	  1.22604E-004	  5.92417E-005	
  2.35878E+002	  4.92588E-005	  4.61937E-005	 -1.17892E-005	  4.53240E-005	  7.06368E-005	  1.42682E-004	  2.50576E-006	
  2.62093E+002	  3.02167E-005	  7.10998E-005	  4.20005E-005	 -1.21180E-006	  5.91524E-005	 -5.05318E-006	  1.53124E-005	
  2.88307E+002	 -4.91798E-006	 -8.64710E-005	  3.64710E-005	 -6.59330E-005	  6.86934E-005	  2.57568E-005	 -8.02508E-006	
  3.14522E+002	  2.16725E-005	  5.57076E-006	  7.55904E-005	  1.74061E-005	  2.63657E-005	  6.10922E-005	 -5.59900E-005	
  3.40736E+002	  3.17558E-005	  4.90870E-005	 -1.19768E-005	  3.48157E-005	  3.14160E-005	  7.02840E-005	  1.69089E-005	
  3.66950E+002	  5.87015E-005	  1.08354E-005	  6.87477E-005	  3.77343E-005	  1.05429E-004	  1.13878E-004	  1.55838E-005	
  3.93165E+002	  4.23317E-005	  3.65213E-005	  3.51149E-005	  4.70707E-005	  9.95191E-005	  8.72491E-005	 -5.14847E-005	
  4.19379E+002	  2.57311E-005	  3.08940E-005	 -7.88139E-006	 -1.14487E-005	  1.09159E-004	  6.58800E-005	 -3.22159E-005	
  4.71808E+002	  4.45636E-005	  7.42580E-007	  3.21690E-005	  4.92076E-005	  1.04669E-004	  9.54842E-005	 -1.48907E-005	
  5.24237E+002	  3.08376E-005	  3.12046E-005	  2.95410E-005	 -2.89582E-005	  6.71632E-005	  7.07996E-005	  1.52753E-005	
  5.76666E+002	  7.01409E-006	 -1.08883E-005	  1.47611E-005	 -3.37087E-005	  4.18603E-005	  5.40834E-005	 -2.40234E-005	
  6.29094E+002	  3.64741E-005	  6.15349E-005	  1.07761E-004	  1.75876E-005	  2.59408E-005	  6.12309E-005	 -5.52106E-005	
  6.81523E+002	  2.99417E-005	  2.46379E-005	  1.10871E-004	 -3.34589E-005	  5.30482E-005	  2.76733E-005	 -3.12140E-006	
  7.33952E+002	  1.77486E-005	  5.61657E-006	  5.46591E-007	  3.44953E-005	  1.38424E-005	  6.97641E-006	  4.50142E-005	
  7.86381E+002	  4.15107E-005	  8.21175E-005	  3.79086E-005	  3.36321E-005	  8.93534E-005	 -1.24099E-006	  7.29338E-006	
  8.38810E+002	  3.01541E-006	  2.20197E-005	  4.80633E-007	 -4.40161E-005	  2.01016E-005	  3.34138E-005	 -1.39071E-005	
  9.43667E+002	  3.24787E-005	  4.24257E-005	  4.91779E-007	 -8.38693E-006	  4.00567E-005	  8.23091E-005	  3.79758E-005	
  1.04852E+003	  1.67142E-005	  4.02453E-005	 -2.15270E-005	 -7.97808E-006	  1.52307E-005	  4.59229E-005	  2.83913E-005	
  1.15338E+003	  2.73470E-005	  3.40403E-005	 -2.20690E-005	 -1.32241E-005	  6.95466E-005	  2.24704E-005	  7.33182E-005	
  1.25824E+003	  3.43489E-005	  9.02879E-005	  3.26777E-005	  1.15508E-005	  5.31639E-005	  2.27063E-005	 -4.29333E-006	
  1.36310E+003	  2.28676E-005	  2.33858E-005	  5.47372E-006	  4.08135E-005	  2.22572E-005	  3.52239E-005	  1.00516E-005	
  1.46796E+003	  7.33618E-006	  1.77939E-005	 -3.12017E-005	 -1.08281E-005	  1.97971E-005	  3.27855E-005	  1.56704E-005	
